Date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1/12/2008,1.502,0.074,240.170,6.400,0.000,0.000,18.000
17/12/2006,0.374,0.264,245.500,1.800,0.000,2.000,0.000
3/6/2009,0.620,0.300,239.850,3.000,0.000,1.000,1.000
9/5/2007,0.280,0.200,235.720,1.400,0.000,0.000,0.000
14/12/2008,1.372,0.054,243.950,5.600,0.000,0.000,18.000
22/6/2007,0.284,0.254,241.540,1.600,0.000,1.000,0.000
11/8/2009,0.196,0.068,244.520,0.800,0.000,0.000,1.000
10/5/2008,2.234,0.270,239.050,9.400,0.000,0.000,29.000
8/12/2009,0.486,0.120,249.240,2.000,0.000,2.000,0.000
4/1/2010,1.842,0.120,245.220,7.400,0.000,0.000,19.000
22/6/2010,0.752,0.102,242.200,3.200,1.000,0.000,1.000
25/10/2010,2.192,0.000,238.170,9.200,0.000,0.000,18.000
17/11/2009,1.308,0.000,242.320,5.400,0.000,0.000,19.000
5/5/2008,0.424,0.226,242.650,2.000,0.000,0.000,1.000
18/2/2008,1.288,0.000,239.650,5.200,0.000,0.000,17.000
31/1/2010,0.522,0.000,241.340,2.200,0.000,0.000,1.000
18/9/2007,0.276,0.112,237.020,1.200,1.000,0.000,0.000
8/1/2007,1.432,0.248,238.360,6.000,0.000,0.000,17.000
24/4/2008,1.288,0.000,237.540,5.400,0.000,0.000,18.000
4/8/2009,0.314,0.246,243.170,1.600,0.000,0.000,1.000
27/8/2009,0.708,0.388,241.670,3.600,0.000,2.000,5.000
15/8/2009,0.478,0.366,242.970,2.400,0.000,3.000,0.000
27/10/2010,0.596,0.000,246.630,2.600,0.000,0.000,0.000
4/11/2009,1.378,0.048,239.100,5.600,0.000,0.000,19.000
26/2/2010,4.762,0.550,235.530,20.400,0.000,30.000,18.000
7/3/2008,1.762,0.464,240.540,7.600,0.000,0.000,17.000
5/3/2008,0.322,0.112,244.360,1.400,0.000,0.000,0.000
15/2/2007,2.832,0.060,237.450,12.000,0.000,0.000,18.000
25/12/2009,1.538,0.078,244.820,6.200,0.000,0.000,19.000
20/1/2008,1.470,0.000,241.010,6.200,0.000,0.000,18.000
13/7/2010,0.270,0.122,240.100,1.200,0.000,0.000,1.000
31/8/2010,0.308,0.052,243.290,1.600,0.000,0.000,1.000
7/5/2010,3.412,0.076,229.350,14.800,35.000,0.000,16.000
17/4/2010,0.964,0.428,242.780,4.400,0.000,1.000,10.000
25/4/2008,0.346,0.114,243.900,1.400,0.000,0.000,0.000
12/7/2010,2.642,0.214,240.170,11.000,38.000,0.000,1.000
5/9/2009,1.342,0.086,240.270,5.600,0.000,1.000,18.000
16/2/2010,0.492,0.000,241.130,2.000,0.000,0.000,1.000
23/11/2010,2.856,0.088,234.340,13.200,15.000,0.000,0.000
4/4/2007,3.614,0.094,235.910,15.400,1.000,0.000,17.000
14/2/2010,2.030,0.126,235.360,8.600,0.000,0.000,17.000
24/6/2007,0.206,0.098,236.790,1.000,0.000,1.000,0.000
9/4/2008,1.442,0.110,243.240,5.800,0.000,0.000,18.000
11/6/2009,1.490,0.094,238.530,6.200,0.000,0.000,18.000
13/5/2009,0.304,0.000,241.450,1.400,0.000,0.000,0.000
26/10/2007,0.394,0.000,244.920,1.800,0.000,0.000,0.000
12/7/2009,0.306,0.246,243.910,1.600,0.000,0.000,1.000
3/7/2007,0.400,0.302,238.440,2.000,0.000,2.000,0.000
9/1/2007,1.348,0.000,239.770,5.600,1.000,0.000,17.000
11/10/2008,0.540,0.074,241.940,2.200,0.000,4.000,1.000
27/12/2006,1.232,0.000,241.840,5.000,0.000,0.000,0.000
23/10/2007,2.438,0.000,239.780,10.000,0.000,0.000,17.000
24/9/2009,0.288,0.240,243.540,1.400,0.000,1.000,1.000
13/1/2007,0.340,0.208,240.530,1.600,0.000,1.000,0.000
20/8/2009,0.206,0.094,239.460,1.000,0.000,0.000,0.000
9/12/2008,0.320,0.090,245.840,1.400,0.000,0.000,0.000
17/3/2009,1.596,0.000,240.870,6.600,0.000,0.000,17.000
16/8/2007,0.442,0.230,238.750,2.000,0.000,0.000,0.000
21/11/2010,0.392,0.196,241.640,1.800,0.000,1.000,0.000
20/4/2009,1.660,0.054,237.560,7.000,0.000,0.000,18.000
21/11/2007,1.778,0.216,240.620,7.400,0.000,0.000,18.000
12/3/2008,1.394,0.094,241.440,5.800,0.000,0.000,18.000
22/4/2009,0.358,0.098,241.970,1.600,0.000,0.000,1.000
26/5/2008,0.444,0.156,242.510,2.000,0.000,0.000,1.000
14/10/2007,0.334,0.092,240.760,1.400,0.000,0.000,0.000
24/8/2010,0.268,0.072,241.140,1.200,0.000,0.000,1.000
29/8/2007,0.212,0.116,244.460,1.000,0.000,0.000,0.000
30/7/2010,0.252,0.112,238.680,1.200,0.000,0.000,1.000
16/2/2008,2.634,0.090,239.770,11.000,0.000,0.000,17.000
4/12/2007,2.290,0.000,237.560,9.600,0.000,0.000,17.000
26/6/2009,0.282,0.188,237.970,1.400,0.000,2.000,1.000
12/4/2009,6.028,0.500,232.790,26.000,43.000,1.000,17.000
27/11/2008,1.172,0.000,241.920,6.200,0.000,0.000,0.000
29/10/2008,0.676,0.064,240.170,2.800,0.000,0.000,0.000
8/12/2007,3.960,0.222,234.630,17.000,0.000,0.000,17.000
13/12/2007,1.488,0.000,240.950,6.200,0.000,0.000,18.000
5/7/2008,1.330,0.084,238.640,5.600,1.000,0.000,18.000
7/10/2010,3.928,0.440,239.060,17.200,25.000,1.000,30.000
7/5/2010,1.462,0.892,237.700,7.600,0.000,0.000,0.000
30/3/2008,0.264,0.000,244.500,1.000,0.000,0.000,0.000
11/10/2008,0.240,0.000,240.830,1.000,0.000,0.000,1.000
3/11/2007,0.284,0.084,243.640,1.200,0.000,0.000,0.000
6/7/2010,0.164,0.000,241.900,0.800,0.000,0.000,0.000
12/9/2010,0.170,0.000,241.900,1.000,0.000,0.000,0.000
19/11/2010,0.282,0.000,245.790,1.200,0.000,0.000,0.000
28/4/2010,0.380,0.086,242.810,1.800,0.000,0.000,3.000
30/7/2010,0.158,0.000,239.730,0.600,0.000,0.000,0.000
