date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type
string,continuous,continuous,continuous,continuous,continuous,Weekday Weekend,Friday Monday Saturday Sunday Thursday Tuesday Wednesday,Light_Load Maximum_Load Medium_Load
meta,,,,,,,,
29/04/2018 07:15,2.88,3.82,0.00,60.20,100.00,Weekend,Sunday,Light_Load
04/10/2018 12:00,60.77,48.02,0.00,78.46,100.00,Weekday,Thursday,Maximum_Load
26/01/2018 11:30,120.42,59.65,0.00,89.61,100.00,Weekday,Friday,Maximum_Load
02/06/2018 14:30,3.13,0.00,16.60,100.00,18.53,Weekend,Saturday,Light_Load
07/12/2018 15:00,58.86,20.99,0.00,94.19,100.00,Weekday,Friday,Medium_Load
26/03/2018 06:00,3.10,3.49,0.00,66.41,100.00,Weekday,Monday,Light_Load
18/12/2018 13:00,9.40,0.00,20.52,100.00,41.65,Weekday,Tuesday,Medium_Load
18/04/2018 00:45,3.60,3.35,0.00,73.21,100.00,Weekday,Wednesday,Light_Load
23/11/2018 23:30,4.61,2.20,0.07,90.25,99.99,Weekday,Friday,Light_Load
08/12/2018 00:00,3.78,3.13,0.11,77.02,99.96,Weekend,Saturday,Light_Load
15/07/2018 04:30,2.84,5.26,0.00,47.51,100.00,Weekend,Sunday,Light_Load
23/05/2018 06:00,3.02,5.26,0.00,49.79,100.00,Weekday,Wednesday,Light_Load
26/07/2018 23:15,2.84,5.36,0.00,46.82,100.00,Weekday,Thursday,Light_Load
08/11/2018 17:15,64.84,51.37,0.00,78.38,100.00,Weekday,Thursday,Maximum_Load
28/10/2018 01:30,2.81,5.18,0.00,47.68,100.00,Weekend,Sunday,Light_Load
05/01/2018 14:30,87.05,36.65,0.00,92.16,100.00,Weekday,Friday,Medium_Load
24/11/2018 04:30,3.64,3.20,0.00,75.10,100.00,Weekend,Saturday,Light_Load
15/10/2018 16:15,111.20,52.49,0.00,90.43,100.00,Weekday,Monday,Maximum_Load
14/08/2018 12:00,72.86,56.99,0.00,78.77,100.00,Weekday,Tuesday,Maximum_Load
25/05/2018 19:45,37.80,2.20,0.40,99.83,99.99,Weekday,Friday,Medium_Load
19/01/2018 01:00,53.93,32.47,0.00,85.67,100.00,Weekday,Friday,Light_Load
18/05/2018 15:45,58.93,30.38,0.00,88.88,100.00,Weekday,Friday,Maximum_Load
26/09/2018 04:45,2.59,5.36,0.00,43.51,100.00,Weekday,Wednesday,Light_Load
19/05/2018 19:45,3.71,0.00,20.16,100.00,18.10,Weekend,Saturday,Medium_Load
13/06/2018 16:45,3.42,0.00,19.48,100.00,17.29,Weekday,Wednesday,Maximum_Load
14/06/2018 03:00,2.88,4.14,0.00,57.11,100.00,Weekday,Thursday,Light_Load
28/12/2018 11:30,64.94,29.56,0.00,91.01,100.00,Weekday,Friday,Maximum_Load
18/01/2018 09:15,97.13,43.92,0.00,91.12,100.00,Weekday,Thursday,Medium_Load
24/12/2018 16:30,69.55,29.77,0.00,91.93,100.00,Weekday,Monday,Medium_Load
24/06/2018 03:15,2.59,3.38,0.00,60.82,100.00,Weekend,Sunday,Light_Load
25/02/2018 11:30,4.68,0.00,6.34,100.00,59.39,Weekend,Sunday,Light_Load
03/01/2018 20:30,37.30,2.88,1.22,99.70,99.95,Weekday,Wednesday,Medium_Load
12/10/2018 23:45,3.49,6.26,0.00,48.69,100.00,Weekday,Friday,Light_Load
14/09/2018 01:30,3.53,4.93,0.00,58.22,100.00,Weekday,Friday,Light_Load
05/04/2018 03:45,3.10,3.71,0.00,64.12,100.00,Weekday,Thursday,Light_Load
03/07/2018 07:30,3.53,5.26,0.00,55.72,100.00,Weekday,Tuesday,Light_Load
17/09/2018 09:00,56.34,31.25,0.00,87.45,100.00,Weekday,Monday,Light_Load
06/12/2018 04:15,3.31,2.77,0.00,76.69,100.00,Weekday,Thursday,Light_Load
15/03/2018 06:30,3.38,5.76,0.00,50.61,100.00,Weekday,Thursday,Light_Load
01/08/2018 06:30,2.66,4.79,0.00,48.55,100.00,Weekday,Wednesday,Light_Load
12/07/2018 01:00,2.99,4.82,0.00,52.71,100.00,Weekday,Thursday,Light_Load
24/05/2018 21:45,8.39,0.00,22.79,100.00,34.55,Weekday,Thursday,Medium_Load
08/05/2018 23:30,3.60,3.31,0.00,73.61,100.00,Weekday,Tuesday,Light_Load
15/07/2018 22:15,4.72,0.00,22.10,100.00,20.89,Weekend,Sunday,Medium_Load
21/05/2018 14:45,76.18,47.41,0.00,84.90,100.00,Weekday,Monday,Maximum_Load
01/01/2018 17:45,3.60,0.00,17.39,100.00,20.27,Weekday,Monday,Light_Load
16/07/2018 21:15,4.90,0.00,24.01,100.00,20.00,Weekday,Monday,Medium_Load
28/09/2018 10:00,47.20,24.48,0.00,88.77,100.00,Weekday,Friday,Medium_Load
